Name,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
Megion,61.0296,76.1136,17.01,72,12,2.69,RU,2021-08-25 20:55:20
Ilulissat,69.2167,-51.1,7.01,81,75,3.6,GL,2021-08-25 20:49:31
Ushuaia,-54.8,-68.3,4.79,52,0,1.54,AR,2021-08-25 20:44:50
Cape Town,-33.9258,18.4232,13.4,88,75,5.14,ZA,2021-08-25 20:49:31
Namie,37.4833,141.0,25.95,93,84,2.14,JP,2021-08-25 20:55:21
Zhigansk,66.7697,123.3711,11.91,96,100,5.8,RU,2021-08-25 20:55:21
Warrnambool,-38.3833,142.4833,8.23,77,100,5.53,AU,2021-08-25 20:55:22
Arraial do Cabo,-22.9661,-42.0278,25.92,57,0,12.35,BR,2021-08-25 20:53:16
Kapaa,22.0752,-159.319,28.18,68,75,2.24,US,2021-08-25 20:52:58
Hermanus,-34.4187,19.2345,13.28,82,0,2.75,ZA,2021-08-25 20:54:12
Avera,33.194,-82.5271,32.64,54,89,2.91,US,2021-08-25 20:55:24
Albany,42.6001,-73.9662,32.67,64,54,0.8,US,2021-08-25 20:52:09
Rikitea,-23.1203,-134.9692,21.76,71,95,4.66,PF,2021-08-25 20:52:54
Katghora,22.5,82.55,24.62,92,100,1.0,IN,2021-08-25 20:55:26
Kendari,-3.945,122.4989,23.11,93,100,1.01,ID,2021-08-25 20:55:26
Gizo Government Station,-8.103,156.8419,27.24,76,82,3.17,SB,2021-08-25 20:55:27
Tegul'det,57.3064,88.1667,13.54,89,90,1.24,RU,2021-08-25 20:55:28
Yulara,-25.2406,130.9889,2.91,44,0,2.57,AU,2021-08-25 20:52:48
Yar-Sale,66.8333,70.8333,7.53,78,100,7.32,RU,2021-08-25 20:55:29
Qaanaaq,77.484,-69.3632,4.05,84,100,4.47,GL,2021-08-25 20:55:29
Severo-Kuril'sk,50.6789,156.125,12.42,94,81,4.38,RU,2021-08-25 20:55:30
Mount Isa,-20.7333,139.5,11.87,26,0,2.57,AU,2021-08-25 20:53:24
Henties Bay,-22.116,14.2845,14.92,81,12,2.72,NA,2021-08-25 20:55:31
Andenes,69.3143,16.1194,9.7,93,0,1.54,NO,2021-08-25 20:55:31
Lüderitz,-26.6481,15.1594,12.77,83,2,3.84,NA,2021-08-25 20:55:32
Torbay,47.6666,-52.7314,19.38,91,90,5.14,CA,2021-08-25 20:55:32
Cabo San Lucas,22.8909,-109.9124,37.51,72,50,4.16,MX,2021-08-25 20:54:05
Tuktoyaktuk,69.4541,-133.0374,7.0,81,90,7.2,CA,2021-08-25 20:52:53
Atuona,-9.8,-139.0333,25.29,71,46,8.85,PF,2021-08-25 20:55:33
Hofn,64.2539,-15.2082,13.49,89,2,5.62,IS,2021-08-25 20:53:51
Raudeberg,61.9875,5.1352,13.78,86,92,1.79,NO,2021-08-25 20:55:33
Namatanai,-3.6667,152.4333,26.02,80,93,2.87,PG,2021-08-25 20:55:34
Port Victoria,0.0939,33.9756,22.9,63,32,3.77,KE,2021-08-25 20:55:34
College,64.8569,-147.8028,13.49,95,90,1.54,US,2021-08-25 20:55:34
Hong Kong,22.2855,114.1577,29.62,84,77,2.83,HK,2021-08-25 20:52:20
Punta Arenas,-53.15,-70.9167,5.06,70,90,6.17,CL,2021-08-25 20:52:49
Saint-Philippe,-21.3585,55.7679,17.9,76,35,3.43,RE,2021-08-25 20:53:53
Sarh,9.1429,18.3923,25.95,89,20,0.0,TD,2021-08-25 20:55:37
Arrondissement de Bressuire,46.9167,-0.5,19.66,45,84,4.32,FR,2021-08-25 20:55:37
Bredasdorp,-34.5322,20.0403,9.62,93,0,3.6,ZA,2021-08-25 20:53:00
Butaritari,3.0707,172.7902,28.41,71,82,6.61,KI,2021-08-25 20:55:38
Ostrovnoy,68.0531,39.5131,4.46,74,44,1.69,RU,2021-08-25 20:55:38
Chokurdakh,70.6333,147.9167,7.54,85,86,1.7,RU,2021-08-25 20:53:05
Castro,-24.7911,-50.0119,24.26,38,49,2.1,BR,2021-08-25 20:55:39
Comonfort,20.7167,-100.7667,26.23,40,33,5.96,MX,2021-08-25 20:55:39
Dolzhanskaya,46.6311,37.8039,24.21,55,0,6.52,RU,2021-08-25 20:55:40
Nefteyugansk,61.0998,72.6035,18.14,76,39,3.63,RU,2021-08-25 20:55:40
Busselton,-33.65,115.3333,11.72,76,78,4.99,AU,2021-08-25 20:55:41
Saldanha,-33.0117,17.9442,12.03,87,0,3.91,ZA,2021-08-25 20:52:57
Puerto Ayora,-0.7393,-90.3518,25.98,85,96,5.36,EC,2021-08-25 20:55:41
Salta,-24.7859,-65.4117,18.16,21,0,3.58,AR,2021-08-25 20:55:41
Necochea,-38.5473,-58.7368,13.91,57,15,3.02,AR,2021-08-25 20:55:42
Port Alfred,-33.5906,26.891,17.39,76,0,4.6,ZA,2021-08-25 20:55:43
Tabory,58.5198,64.5495,18.5,68,82,2.77,RU,2021-08-25 20:55:43
Westport,41.1415,-73.3579,35.03,55,0,0.45,US,2021-08-25 20:52:36
Avarua,-21.2078,-159.775,21.03,78,75,2.06,CK,2021-08-25 20:55:44
Esperance,-33.8667,121.9,12.91,42,70,5.82,AU,2021-08-25 20:55:44
Ghanzi,-21.5667,21.7833,22.06,28,6,4.07,BW,2021-08-25 20:55:45
Ribeira Grande,38.5167,-28.7,21.22,68,40,2.06,PT,2021-08-25 20:55:45
Dingle,10.9995,122.6711,23.46,94,93,3.01,PH,2021-08-25 20:52:49
Tasiilaq,65.6145,-37.6368,5.33,98,100,4.02,GL,2021-08-25 20:55:46
Mendoza,-32.8908,-68.8272,18.74,19,0,3.6,AR,2021-08-25 20:54:49
Vanavara,60.34,102.2797,11.62,95,16,1.69,RU,2021-08-25 20:55:46
Mataura,-46.1927,168.8643,11.38,80,100,1.84,NZ,2021-08-25 20:55:47
Manturovo,58.3353,44.7619,8.16,81,5,0.65,RU,2021-08-25 20:55:47
Maniitsoq,65.4167,-52.9,6.17,98,100,6.95,GL,2021-08-25 20:53:41
Norman Wells,65.282,-126.8329,14.02,82,90,4.12,CA,2021-08-25 20:55:48
Porto Santo,33.072,-16.3415,23.21,83,40,2.57,PT,2021-08-25 20:55:48
Roald,62.5833,6.1333,13.98,82,75,6.17,NO,2021-08-25 20:55:49
Swellendam,-34.0226,20.4417,9.21,73,0,0.57,ZA,2021-08-25 20:55:49
Saint Paul Harbor,57.79,-152.4072,12.87,75,100,2.36,US,2021-08-25 20:55:50
Batagay-Alyta,67.8006,130.4114,10.12,59,39,1.65,RU,2021-08-25 20:55:50
Chimbote,-9.0853,-78.5783,18.52,78,100,6.76,PE,2021-08-25 20:55:51
Horsham,51.064,-0.3272,17.52,65,0,4.63,GB,2021-08-25 20:55:51
Lorengau,-2.0226,147.2712,27.01,78,100,3.6,PG,2021-08-25 20:55:51
Kuytun,54.3419,101.5036,9.22,73,82,0.93,RU,2021-08-25 20:55:52
Clarence Town,-32.5833,151.7833,9.36,82,30,1.96,AU,2021-08-25 20:55:53
Jacksonville,30.3322,-81.6556,33.54,68,75,1.34,US,2021-08-25 20:45:53
Ormstown,45.1334,-73.9992,33.09,42,99,4.15,CA,2021-08-25 20:55:53
Port Elizabeth,-33.918,25.5701,15.05,94,40,1.03,ZA,2021-08-25 20:52:23
Verkhnevilyuysk,63.4453,120.3167,12.73,92,100,3.96,RU,2021-08-25 20:55:55
Ponta do Sol,32.6667,-17.1,23.73,74,48,2.68,PT,2021-08-25 20:55:55
Pisco,-13.7,-76.2167,21.03,60,99,11.83,PE,2021-08-25 20:55:55
Carutapera,-1.195,-46.02,24.74,93,93,3.22,BR,2021-08-25 20:53:16
Paamiut,61.994,-49.6678,6.48,95,100,0.43,GL,2021-08-25 20:55:56
Bagu,18.4228,121.3583,24.3,92,96,1.98,PH,2021-08-25 20:55:57
Pedernales,18.0384,-71.744,28.94,62,99,0.62,DO,2021-08-25 20:55:58
Hobart,-42.8794,147.3294,7.92,81,75,5.14,AU,2021-08-25 20:55:58
Geraldton,-28.7667,114.6,13.23,100,90,0.0,AU,2021-08-25 20:55:59
Hervey Bay,-25.2986,152.8535,7.06,62,11,3.83,AU,2021-08-25 20:55:59
Youkounkoun,12.5333,-13.1333,24.79,87,100,1.32,GN,2021-08-25 20:56:00
Yellowknife,62.456,-114.3525,16.29,77,20,8.75,CA,2021-08-25 20:56:00
Lagoa,39.05,-27.9833,20.7,66,0,5.94,PT,2021-08-25 20:56:00
Pārsābād,39.6482,47.9174,25.18,83,0,4.12,IR,2021-08-25 20:56:01
Pevek,69.7008,170.3133,1.37,98,100,8.09,RU,2021-08-25 20:56:02
Saskylakh,71.9167,114.0833,5.29,93,100,9.88,RU,2021-08-25 20:53:38
Pacific Grove,36.6177,-121.9166,26.0,78,0,3.13,US,2021-08-25 20:55:42
Jamestown,42.097,-79.2353,31.72,48,1,1.34,US,2021-08-25 20:51:42
Salalah,17.0151,54.0924,25.17,93,95,2.95,OM,2021-08-25 20:56:03
Micheweni,-4.9667,39.8333,23.64,76,0,5.85,TZ,2021-08-25 20:56:03
Chu,43.5983,73.7614,23.44,25,7,2.42,KZ,2021-08-25 20:56:04
Vardø,70.3705,31.1107,7.86,82,25,3.23,NO,2021-08-25 20:56:05
Tshikapa,-6.4167,20.8,26.49,50,6,0.19,CD,2021-08-25 20:56:06
Harper,4.375,-7.7169,24.93,88,100,3.96,LR,2021-08-25 20:56:06
Barrow,71.2906,-156.7887,3.83,71,100,6.5,US,2021-08-25 20:53:38
Bongandanga,1.5,21.05,24.7,69,49,0.43,CD,2021-08-25 20:56:07
Xinzhou,38.4092,112.7333,14.07,65,95,0.45,CN,2021-08-25 20:56:07
Hithadhoo,-0.6,73.0833,27.34,76,46,4.21,MV,2021-08-25 20:52:52
Clyde River,70.4692,-68.5914,8.13,71,75,4.63,CA,2021-08-25 20:56:08
George Town,5.4112,100.3354,24.96,94,20,1.54,MY,2021-08-25 20:51:08
Kaitangata,-46.2817,169.8464,7.95,84,100,2.46,NZ,2021-08-25 20:54:08
Adrar,20.5022,-10.0711,37.8,14,82,3.86,MR,2021-08-25 20:56:08
Tarakan,3.3,117.6333,25.61,84,24,2.38,ID,2021-08-25 20:56:09
Bohuslav,49.5494,30.8744,14.92,78,100,3.27,UA,2021-08-25 20:56:09
San Patricio,28.017,-97.5169,36.12,40,11,6.01,US,2021-08-25 20:56:10
Kumluca,36.3703,30.2869,28.76,57,0,2.13,TR,2021-08-25 20:56:10
Prabumulih,-3.45,104.25,22.6,92,90,1.14,ID,2021-08-25 20:56:11
Lompoc,34.6391,-120.4579,33.9,69,20,2.68,US,2021-08-25 20:56:11
Codrington,-38.2667,141.9667,9.07,76,100,5.09,AU,2021-08-25 20:53:43
Yaan,7.3833,8.5667,23.97,90,70,1.66,NG,2021-08-25 20:56:12
Kruisfontein,-34.0033,24.7314,13.82,48,0,2.06,ZA,2021-08-25 20:56:12
Vaini,-21.2,-175.2,20.09,68,20,5.14,TO,2021-08-25 20:56:12
Bluff,-46.6,168.3333,11.56,83,100,7.13,NZ,2021-08-25 20:56:13
Grizáno,39.6333,22.05,23.11,50,0,0.8,GR,2021-08-25 20:56:13
Mar del Plata,-38.0023,-57.5575,17.01,36,20,7.2,AR,2021-08-25 20:56:14
Phan Thiet,10.9333,108.1,24.01,92,100,2.98,VN,2021-08-25 20:56:14
Mwinilunga,-11.7358,24.4293,20.68,33,9,1.82,ZM,2021-08-25 20:56:14
Nyuksenitsa,60.4128,44.2397,8.28,96,63,2.15,RU,2021-08-25 20:56:15
Florida,28.7505,-82.5001,35.51,52,1,0.89,US,2021-08-25 20:51:33
Itaituba,-4.2761,-55.9836,35.09,52,20,5.14,BR,2021-08-25 20:56:15
Cap Malheureux,-19.9842,57.6142,20.27,79,2,1.34,MU,2021-08-25 20:56:16
Carnarvon,-24.8667,113.6333,17.04,80,3,4.63,AU,2021-08-25 20:56:17
Petatlán,17.5167,-101.2667,29.25,82,98,3.48,MX,2021-08-25 20:56:17
Kedrovyy,56.1667,91.8167,10.23,77,70,0.88,RU,2021-08-25 20:56:19
Humberto de Campos,-2.5983,-43.4611,25.03,86,89,2.86,BR,2021-08-25 20:56:19
Port Shepstone,-30.7414,30.455,18.33,83,0,8.43,ZA,2021-08-25 20:53:19
Mount Gambier,-37.8333,140.7667,7.95,76,90,3.6,AU,2021-08-25 20:56:19
Upernavik,72.7868,-56.1549,5.19,92,100,7.61,GL,2021-08-25 20:56:20
Tomatlán,19.9333,-105.25,30.69,73,81,3.75,MX,2021-08-25 20:55:15
Brae,60.3964,-1.353,11.95,79,99,6.21,GB,2021-08-25 20:56:20
Saint George,37.1041,-113.5841,38.68,16,17,0.45,US,2021-08-25 20:56:39
Anadyr,64.75,177.4833,9.28,100,75,4.0,RU,2021-08-25 20:54:07
São Filipe,14.8961,-24.4956,26.02,85,100,1.37,CV,2021-08-25 20:56:39
Provideniya,64.3833,-173.3,6.06,75,90,9.0,RU,2021-08-25 20:54:17
Beringovskiy,63.05,179.3167,8.3,83,100,6.61,RU,2021-08-25 20:56:40
Nicoya,10.1483,-85.452,26.75,91,100,1.41,CR,2021-08-25 20:56:40
Haines Junction,60.7522,-137.5108,13.97,62,100,2.06,CA,2021-08-25 20:56:41
Nikolskoye,59.7035,30.7861,12.23,83,100,3.1,RU,2021-08-25 20:56:41
Bartica,6.4,-58.6167,31.18,80,84,1.95,GY,2021-08-25 20:56:41
Port Lincoln,-34.7333,135.8667,10.57,65,50,4.16,AU,2021-08-25 20:56:42
Vestmannaeyjar,63.4427,-20.2734,13.55,94,90,10.29,IS,2021-08-25 20:56:42
Lábrea,-7.2586,-64.7981,35.66,29,100,0.48,BR,2021-08-25 20:53:09
Broome,42.2506,-75.833,32.81,62,100,0.45,US,2021-08-25 20:56:43
Avon Park,27.5959,-81.5062,34.19,60,3,6.1,US,2021-08-25 20:56:44
Siniscola,40.5719,9.6922,24.75,84,13,1.22,IT,2021-08-25 20:56:45
Nanortalik,60.1432,-45.2371,8.42,84,100,2.04,GL,2021-08-25 20:56:45
Onguday,50.75,86.15,11.87,89,0,1.16,RU,2021-08-25 20:56:46
Berdigestyakh,62.0989,126.6992,8.95,87,42,2.2,RU,2021-08-25 20:56:46
Province of Mantua,45.1667,10.7833,22.58,65,0,1.34,IT,2021-08-25 20:56:47
Salekhard,66.53,66.6019,7.4,93,100,8.87,RU,2021-08-25 20:56:47
Bambous Virieux,-20.3428,57.7575,20.14,77,75,4.63,MU,2021-08-25 20:55:08
Kulhudhuffushi,6.6221,73.07,27.59,78,87,9.46,MV,2021-08-25 20:56:48
East London,-33.0153,27.9116,17.85,59,0,3.62,ZA,2021-08-25 20:56:48
Farkhor,37.4922,69.4036,24.49,22,0,1.6,TJ,2021-08-25 20:56:49
Tiksi,71.6872,128.8694,7.35,96,100,6.01,RU,2021-08-25 20:56:49
Kelo,9.3086,15.8066,23.64,90,96,0.35,TD,2021-08-25 20:57:10
San Quintín,30.4833,-115.95,26.05,62,0,7.33,MX,2021-08-25 20:57:10
Mahébourg,-20.4081,57.7,20.16,77,75,4.63,MU,2021-08-25 20:57:11
Liverpool,53.4106,-2.9779,18.16,84,0,3.09,GB,2021-08-25 20:57:11
Bubanza Province,-3.1167,29.4,23.23,39,5,1.49,BI,2021-08-25 20:57:13
Tura,25.5198,90.2201,23.62,99,100,3.64,IN,2021-08-25 20:57:13
Nabire,-3.3667,135.4833,23.42,93,100,1.69,ID,2021-08-25 20:57:13
Fukuechō,32.6881,128.8419,26.52,91,73,7.77,JP,2021-08-25 20:57:14
Caravelas,-17.7125,-39.2481,22.47,81,10,3.58,BR,2021-08-25 20:57:14
Hilo,19.7297,-155.09,27.38,70,6,3.73,US,2021-08-25 20:57:14
Emerald,-23.5333,148.1667,9.08,43,2,4.63,AU,2021-08-25 20:57:15
Katsuura,35.1333,140.3,26.06,89,27,2.23,JP,2021-08-25 20:57:15
Fortuna,40.5982,-124.1573,21.07,66,1,2.24,US,2021-08-25 20:54:46
Fayaoué,-20.65,166.5333,23.47,70,21,8.46,NC,2021-08-25 20:57:16
Bethel,41.3712,-73.414,33.73,57,2,2.14,US,2021-08-25 20:57:16
Guerrero Negro,27.9769,-114.0611,27.17,57,89,6.99,MX,2021-08-25 20:57:17
Lębork,54.5392,17.7501,14.95,94,92,2.12,PL,2021-08-25 20:57:17
Tual,-5.6667,132.75,26.6,78,96,7.16,ID,2021-08-25 20:57:18
Ritchie,-29.038,24.6028,13.56,33,18,5.49,ZA,2021-08-25 20:54:14
Amahai,-3.3333,128.9167,24.52,86,100,0.87,ID,2021-08-25 20:57:18
Longyearbyen,78.2186,15.6401,6.91,70,75,4.12,SJ,2021-08-25 20:53:47
Port Hardy,50.6996,-127.4199,13.1,82,90,1.54,CA,2021-08-25 20:57:19
Atikokan,48.7555,-91.6216,24.44,31,0,5.19,CA,2021-08-25 20:57:19
Myaundzha,63.0494,147.1858,12.28,94,100,1.81,RU,2021-08-25 20:57:20
Sola,-13.8833,167.55,25.65,71,99,9.84,VU,2021-08-25 20:57:20
La Roda,39.2167,-2.15,25.22,49,41,1.87,ES,2021-08-25 20:57:21
Boysun,38.2061,67.1986,21.47,21,0,3.04,UZ,2021-08-25 20:57:21
Two Rivers,44.1539,-87.5693,31.15,72,45,2.87,US,2021-08-25 20:57:22
Khudumelapye,-23.8833,24.75,19.35,54,82,6.4,BW,2021-08-25 20:57:22
Bara,10.3744,10.7288,22.73,90,100,3.54,NG,2021-08-25 20:57:23
Sambava,-14.2667,50.1667,19.5,87,2,4.38,MG,2021-08-25 20:57:23
Tenabo,20.05,-90.2333,37.84,24,9,2.82,MX,2021-08-25 20:57:23
Iqaluit,63.7506,-68.5145,11.85,54,40,8.75,CA,2021-08-25 20:53:04
Porto Belo,-27.1578,-48.5531,23.68,96,2,3.26,BR,2021-08-25 20:57:24
Hambantota,6.1241,81.1185,26.04,83,77,6.11,LK,2021-08-25 20:57:24
Totskoye,52.5248,52.7623,19.25,77,3,3.64,RU,2021-08-25 20:57:25
Formosa,-26.1775,-58.1781,14.99,88,90,3.6,AR,2021-08-25 20:57:25
Lavrentiya,65.5833,-171.0,7.05,64,98,4.75,RU,2021-08-25 20:57:26
Changji,44.0167,87.3167,21.44,32,0,3.0,CN,2021-08-25 20:57:26
Iglesias,39.3114,8.535,25.35,75,70,0.76,IT,2021-08-25 20:57:27
Matam,15.6175,-13.3303,26.14,72,100,7.98,SN,2021-08-25 20:57:27
Ca Mau,9.1769,105.15,24.18,92,100,1.9,VN,2021-08-25 20:57:28
Monrovia,6.3005,-10.7969,24.87,90,100,3.76,LR,2021-08-25 20:55:47
Rutul,41.5357,47.4239,18.5,85,12,2.1,RU,2021-08-25 20:57:29
Salé,34.0389,-6.8166,22.38,83,40,2.06,MA,2021-08-25 20:57:29
Goma,-1.6792,29.2228,18.87,53,8,1.25,CD,2021-08-25 20:57:29
Leningradskiy,69.3833,178.4167,1.95,97,100,7.19,RU,2021-08-25 20:57:30
Mumbwa,-14.9783,27.0619,21.25,27,2,3.11,ZM,2021-08-25 20:57:30
Auki,-8.7676,160.7034,25.91,83,25,2.52,SB,2021-08-25 20:57:31
Nome,64.5011,-165.4064,8.39,73,99,4.95,US,2021-08-25 20:57:31
Lebu,-37.6167,-73.65,10.35,83,100,6.69,CL,2021-08-25 20:53:28
Cidreira,-30.1811,-50.2056,16.45,99,100,1.8,BR,2021-08-25 20:53:12
Saint-Augustin,51.226,-58.6502,22.81,44,45,3.77,CA,2021-08-25 20:56:59
Omboué,-1.5746,9.2618,24.47,86,9,4.35,GA,2021-08-25 20:53:31
Mittagong,-34.45,150.45,5.47,87,12,2.61,AU,2021-08-25 20:57:33
Kavieng,-2.5744,150.7967,27.68,76,89,5.76,PG,2021-08-25 20:57:33
Kumul,42.8,93.45,22.45,22,20,4.78,CN,2021-08-25 20:53:49
Mīnāb,27.1467,57.0801,32.72,63,0,0.17,IR,2021-08-25 20:57:34
Seoul,37.5683,126.9778,23.69,94,75,2.57,KR,2021-08-25 20:56:25
Norrtälje,59.758,18.705,11.12,94,100,0.54,SE,2021-08-25 20:57:34
Acapulco de Juárez,16.8634,-99.8901,28.9,84,90,3.6,MX,2021-08-25 20:52:45
Ulladulla,-35.35,150.4667,9.37,69,93,5.26,AU,2021-08-25 20:57:35
Bengkulu,-3.8004,102.2655,23.76,89,73,3.2,ID,2021-08-25 20:53:18
Sechura,-5.5569,-80.8222,23.36,59,17,9.15,PE,2021-08-25 20:57:35
Hasaki,35.7333,140.8333,25.22,90,34,2.55,JP,2021-08-25 20:57:36
Tubualá,9.5167,-79.0333,29.06,87,100,4.95,PA,2021-08-25 20:57:36
Manuk Mangkaw,4.8,119.85,27.93,74,79,2.03,PH,2021-08-25 20:57:37
Camocim,-2.9022,-40.8411,27.01,73,87,7.35,BR,2021-08-25 20:57:39
Bereket,39.2446,55.5154,30.33,19,0,3.52,TM,2021-08-25 20:57:39
Lata,40.1629,-8.3327,19.23,96,99,0.01,PT,2021-08-25 20:54:47
Mandurah,-32.55,115.7,14.39,75,32,5.42,AU,2021-08-25 20:57:40
Inuvik,68.3499,-133.7218,11.48,82,75,2.06,CA,2021-08-25 20:57:42
Abaza,52.655,90.0928,9.49,96,7,0.96,RU,2021-08-25 20:57:42
Pinega,64.7001,43.3936,4.58,90,47,2.42,RU,2021-08-25 20:57:43
Namtsy,62.7161,129.6658,11.06,77,100,3.76,RU,2021-08-25 20:57:43
Nhulunbuy,-12.2333,136.7667,24.34,64,52,4.63,AU,2021-08-25 20:57:43
Faanui,-16.4833,-151.75,25.84,74,82,7.78,PF,2021-08-25 20:57:44
Savelugu,9.6244,-0.8253,25.29,83,60,3.23,GH,2021-08-25 20:57:44
Miles City,46.4083,-105.8406,28.06,23,2,5.12,US,2021-08-25 20:57:45
Shaunavon,49.6501,-108.4181,17.88,40,39,5.23,CA,2021-08-25 20:57:46
Kiryat Gat,31.61,34.7642,27.67,100,0,2.57,IL,2021-08-25 20:53:08
Arlit,18.7369,7.3853,34.94,26,100,4.08,NE,2021-08-25 20:57:47
Shimoda,34.6667,138.95,26.56,91,38,2.64,JP,2021-08-25 20:57:47
Yerbogachën,61.2767,108.0108,12.51,98,46,3.23,RU,2021-08-25 20:48:58
Khatanga,71.9667,102.5,4.08,90,100,8.59,RU,2021-08-25 20:49:00
Hualmay,-11.0964,-77.6139,17.95,79,98,5.93,PE,2021-08-25 20:49:00
Rawson,-43.3002,-65.1023,13.21,36,12,6.83,AR,2021-08-25 20:49:01
Tilichiki,60.4667,166.1,12.44,81,99,3.27,RU,2021-08-25 20:49:01
Constitución,-35.3333,-72.4167,11.3,72,67,2.6,CL,2021-08-25 20:49:02
New Norfolk,-42.7826,147.0587,7.72,84,98,0.45,AU,2021-08-25 20:49:02
Bourail,-21.5667,165.4833,22.16,75,40,2.63,NC,2021-08-25 20:49:03
Barabinsk,55.3571,78.357,16.32,74,0,3.52,RU,2021-08-25 20:49:03
Ketchikan,55.3422,-131.6461,13.26,88,90,5.14,US,2021-08-25 20:49:03
Dikson,73.5069,80.5464,3.21,88,100,7.0,RU,2021-08-25 20:49:05
Beloha,-25.1667,45.05,18.13,95,0,2.1,MG,2021-08-25 20:49:05
Palmer,42.1584,-72.3287,33.35,47,40,1.54,US,2021-08-25 20:49:06
Sangar,63.9242,127.4739,9.6,84,100,0.71,RU,2021-08-25 20:49:06
Deputatsky,69.3,139.9,7.5,68,38,1.49,RU,2021-08-25 20:49:07
Thompson,55.7435,-97.8558,18.09,34,40,1.03,CA,2021-08-25 20:45:23
Laas,46.6166,10.7002,18.49,90,18,1.29,IT,2021-08-25 20:49:07
Port Blair,11.6667,92.75,26.35,83,100,6.34,IN,2021-08-25 20:49:08
Canutama,-6.5339,-64.3831,37.49,27,100,1.59,BR,2021-08-25 20:49:09
Hawkesbury,45.6001,-74.616,34.23,45,96,3.73,CA,2021-08-25 20:49:09
Tymovskoye,50.8456,142.655,15.3,91,79,3.04,RU,2021-08-25 20:49:09
Hilton Head,32.2163,-80.7526,32.21,69,1,3.09,US,2021-08-25 20:48:49
Bitung,1.4451,125.1824,23.47,88,92,5.23,ID,2021-08-25 20:49:10
Georgiyevka,43.0369,74.7114,21.02,43,61,3.0,KZ,2021-08-25 20:49:10
Marzuq,14.4,46.4667,27.38,55,74,5.62,YE,2021-08-25 20:49:11
Romans-sur-Isère,45.0464,5.0562,19.92,81,5,1.05,FR,2021-08-25 20:49:11
Hastings,50.8552,0.5729,17.67,87,1,4.32,GB,2021-08-25 20:49:12
Morgan City,29.6994,-91.2068,33.89,79,1,2.06,US,2021-08-25 20:49:12
Petropavlovsk-Kamchatskiy,53.0452,158.6483,12.33,100,0,2.0,RU,2021-08-25 20:49:13
Tūkrah,32.5341,20.5791,26.22,73,0,2.78,LY,2021-08-25 20:51:19
Arica,-18.475,-70.3042,17.13,67,0,7.72,CL,2021-08-25 20:51:20
São João da Barra,-21.6403,-41.0511,25.05,81,0,12.61,BR,2021-08-25 20:51:20
Liepāja,56.5419,21.0367,15.03,100,90,2.57,LV,2021-08-25 20:49:50
Inírida,3.8653,-67.9239,31.67,61,62,0.24,CO,2021-08-25 20:51:05
Puyang,29.4603,119.8861,24.53,95,100,0.25,CN,2021-08-25 20:51:21
La Asuncion,11.0333,-63.8628,31.85,62,43,7.72,VE,2021-08-25 20:51:21
Eyl,7.9803,49.8164,24.9,87,32,10.3,SO,2021-08-25 20:51:22
Diffa,13.3154,12.6113,24.66,69,100,2.65,NE,2021-08-25 20:51:23
Hirara,24.8,125.2833,28.38,76,1,5.58,JP,2021-08-25 20:51:23
Alyangula,-13.8483,136.4192,15.93,82,72,0.0,AU,2021-08-25 20:51:23
